date,source,acquirer,target,deal_type,upfront_m,milestone_m,total_m,drug_name,modality,therapeutic_area,stage,rationale,multiples,url,notes
2026-02-07,FierceBiotech,Johnson & Johnson,Ambrx Biopharma,acquisition,,2000,2000,ARX517,antibody-drug conjugate,Oncology,Phase 2,"J&J expands oncology pipeline with novel ADC technology platform, strengthening position in prostate cancer",,"https://www.fiercebiotech.com/biotech/jj-acquire-ambrx-biopharma-2b",
2026-02-06,Endpoints News,Novo Nordisk,Cardior Pharmaceuticals,licensing,55,1085,1140,CDR132L,RNA therapeutic,Cardiovascular,Phase 2,"Novo gains rights to heart failure RNA therapy, expanding beyond diabetes/obesity into cardiovascular disease",,"https://endpts.com/novo-nordisk-cardior-deal",
2026-02-06,BioPharma Dive,Bristol Myers Squibb,Vedanta Biosciences,licensing,75,525,600,VE303,microbiome therapeutic,Immunology,Phase 3,"BMS secures microbiome therapy for blood cancer complications, adds novel modality to transplant portfolio",,"https://www.biopharmadive.com/news/bms-vedanta-microbiome-deal",
2026-02-05,FierceBiotech,Eli Lilly,Sitryx Therapeutics,acquisition,510,,510,,small molecule,Immunology,Preclinical,"Lilly acquires immunometabolism platform to discover next-gen therapies targeting cellular metabolism pathways",,"https://www.fiercebiotech.com/biotech/lilly-acquire-sitryx-510m",
2026-02-04,Endpoints News,Roche,Dyno Therapeutics,partnership,100,1200,1300,,AAV gene therapy,Neurology,Preclinical,"Roche partners on AI-designed AAV capsids for CNS gene therapies, leveraging Dyno's machine learning platform",,"https://endpts.com/roche-dyno-gene-therapy-deal",
2026-02-03,BioPharma Dive,AbbVie,Umoja Biopharma,partnership,75,800,875,UNMC-001,cell therapy,Oncology,Phase 1,"AbbVie gains access to in vivo CAR-T platform, aiming to overcome manufacturing challenges of ex vivo cell therapy",,"https://www.biopharmadive.com/news/abbvie-umoja-car-t-deal",
2026-02-01,FierceBiotech,Merck,Kelun Biotech,licensing,800,6400,7200,SKB264,ADC,Oncology,Phase 3,"Merck secures ex-China rights to TROP2 ADC, bolstering oncology pipeline with late-stage asset in high-value indication",,"https://www.fiercebiotech.com/biotech/merck-kelun-adc-deal",
2026-01-31,Endpoints News,Pfizer,Beam Therapeutics,partnership,300,1400,1700,,base editing,Rare Disease,Preclinical,"Pfizer partners on base editing therapies for rare genetic diseases, adding precision gene editing to R&D toolkit",,"https://endpts.com/pfizer-beam-base-editing",
2026-01-30,BioPharma Dive,Gilead Sciences,Tubulis,partnership,20,880,900,,ADC platform,Oncology,Preclinical,"Gilead licenses novel ADC linker technology to enhance its oncology pipeline with improved therapeutic index",,"https://www.biopharmadive.com/news/gilead-tubulis-adc-deal",
2026-01-29,FierceBiotech,AstraZeneca,Gracell Biotechnologies,licensing,100,700,800,GC012F,cell therapy,Oncology,Phase 2,"AstraZeneca gains fast CAR-T technology for solid tumors, expanding cell therapy capabilities beyond hematology",,"https://www.fiercebiotech.com/biotech/az-gracell-car-t-deal",
2026-02-08,FierceBiotech,Sanofi,Novavax,acquisition,,1200,1200,NVX-CoV2373,protein subunit vaccine,Infectious Disease,Approved,"Sanofi acquires Novavax to strengthen vaccine portfolio with proven COVID-19 vaccine technology and manufacturing capacity",,https://www.fiercebiotech.com/biotech/sanofi-novavax-deal,
2026-02-05,Reuters,Eisai,Henlius Biotech,licensing,75,313,388,Hansizhuang,antibody,Oncology,Approved,"Eisai licenses lung cancer antibody from China to expand oncology portfolio in Japan with approved therapy",,https://www.reuters.com/business/healthcare-pharmaceuticals/eisai-strikes-japan-licensing-deal-with-shanghai-henlius-biotech-2026-02-05/,
2026-02-05,Endpoints News,Vertex,WuXi Biologics,licensing,,,,,trispecific T-cell engager,Immunology,Preclinical,"Vertex gains exclusive rights to develop trispecific T-cell engager for B-cell autoimmune diseases",,https://endpoints.news/vertex-wuxi-biologics-t-cell-engager/,Undisclosed terms
2026-01-30,Endpoints News,AstraZeneca,CSPC Pharmaceutical,licensing,1200,17300,18500,,GLP-1/GIP agonist,Obesity,Phase 1,"AstraZeneca commits to China with massive obesity deal for 8 long-acting weight loss drug candidates",,https://endpoints.news/astrazeneca-pays-1-2b-for-cspcs-long-acting-obesity-drugs/,
2026-01-30,Endpoints News,Formation Bio,Chia Tai Feng Hai,licensing,,500,500,FHND5032,small molecule,Immunology,Phase 1,"Formation Bio licenses miR-124 activator from China for autoimmune diseases, following Abivax's success",,https://endpoints.news/exclusive-following-abivax-formation-bio-licenses-mir-124-drug-from-china/,Undisclosed upfront
2026-01-22,Reuters,Bristol Myers Squibb,Janux Therapeutics,licensing,,850,850,,tumor-activated therapeutic,Oncology,Preclinical,"BMS partners on tumor-activated therapeutics for solid tumors, expanding oncology pipeline with novel modality",,https://www.reuters.com/business/healthcare-pharmaceuticals/janux-therapeutics-bristol-myers-enter-up-850-million-deal-develop-cancer-drug-2026-01-22/,Undisclosed upfront
2026-01-20,Reuters,Pfizer,Novavax,licensing,30,500,530,Matrix-M,adjuvant,Infectious Disease,Approved,"Pfizer licenses Novavax's Matrix-M adjuvant technology for vaccine development in up to 2 disease areas",,https://www.reuters.com/business/healthcare-pharmaceuticals/novavax-enters-license-agreement-with-pfizer-vaccine-development-2026-01-20/,
2026-01-08,Takeda,Takeda,Halozyme,licensing,,,,,drug delivery,Gastroenterology,Approved,"Takeda secures ENHANZE technology to develop subcutaneous formulation of vedolizumab for inflammatory bowel disease",,https://www.takeda.com/newsroom/newsreleases/2026/collaboration-and-license/,Undisclosed financial terms
2026-01-08,FierceBiotech,GSK,Noetik,licensing,50,,,,,Oncology,Preclinical,"GSK licenses AI-powered cancer foundation models to accelerate drug discovery using spatial oncology datasets",,https://www.fiercebiotech.com/biotech/gsk-inks-model-deal-50m-bet-noetiks-cancer-ai-platform,
2026-01-08,BioPharma Dive,Eli Lilly,Ventyx Biosciences,acquisition,1200,,1200,VTX3232,small molecule,Immunology,Phase 2,"Lilly acquires NLRP3 inhibitor platform targeting inflammation across cardiometabolic, neurological and immunological disorders",,https://www.biopharmadive.com/news/lilly-ventyx-acquire-deal-nlrp3-inflammasome/808988/,$14 per share
2026-01-08,FierceBiotech,Foresee,Primevera Therapeutics,licensing,10,574,584,,small molecule,Pulmonary,Preclinical,"Foresee out-licenses MMP-12 inhibitors to focus resources on Camcevi, receives upfront and milestone payments",,https://www.fiercebiotech.com/biotech/foresee-offloads-mmp-12-inhibitors-584m-deal-focus-camcevis-potential,
2026-01-06,Bloomberg,Amgen,Dark Blue Therapeutics,acquisition,,840,840,,protein degrader,Oncology,Preclinical,"Amgen acquires UK biotech advancing protein degraders for leukemia to expand targeted degradation capabilities",,https://www.bloomberg.com/news/articles/2026-01-06/amgen-buys-cancer-drug-developer-dark-blue-in-840-million-deal,Undisclosed upfront
2026-01-05,PRNewswire,Sanofi,Earendil Labs,partnership,,,2560,,,Immunology,Preclinical,"Sanofi partners with AI biotech for discovery of bispecific antibodies targeting autoimmune and inflammatory diseases",,https://www.prnewswire.com/news-releases/earendil-labs-announces-strategic-collaboration-with-sanofi-to-discover-bispecific-antibodies-for-autoimmune-diseases-302652305.html,Multi-program discovery deal
2025-12-24,Reuters,Sanofi,Dynavax,acquisition,2200,,2200,HEPLISAV-B,vaccine,Infectious Disease,Approved,"Sanofi acquires hepatitis B vaccine and adjuvant technology to strengthen adult vaccine portfolio",,https://www.reuters.com/business/healthcare-pharmaceuticals/sanofi-acquire-us-biotech-dynavax-22-billion-2025-12-24/,$15.50 per share
2025-12-22,FierceBiotech,AstraZeneca,Jacobio Pharma,licensing,100,1915,2015,JAB-23E73,small molecule,Oncology,Phase 1,"AstraZeneca secures ex-China rights to pan-KRAS inhibitor with broad oncology potential across multiple tumor types",,https://www.fiercebiotech.com/biotech/astrazeneca-fronts-100m-jacobios-clinical-stage-pan-kras-inhibitor,
2025-12-22,Ipsen,Ipsen,Simcere Zaiming,licensing,,1060,1060,SIM0613,ADC,Oncology,Preclinical,"Ipsen licenses ADC targeting LRRC15 from China to expand oncology pipeline, Phase 1 expected H2 2026",,https://www.ipsen.com/press-release/ipsen-expands-early-development-pipeline-with-simcere-zaimings-innovative-antibody-drug-conjugate-3208932,Undisclosed upfront
2025-10-22,MedCity News,Takeda,Innovent Biologics,licensing,1200,10200,11400,IBI363,bispecific antibody,Oncology,Phase 3,"Takeda gains rights to PD-1/IL-2 bispecific and ADCs from Innovent, expanding immuno-oncology and solid tumor pipeline",,https://medcitynews.com/2026/01/takeda-andy-plump-innovent-bispecific-antibody-cancer-oncology-adc-tak/,$100M equity investment included
2025-06-02,BioWorld,Regeneron,Hansoh Pharma,licensing,80,1930,2010,HS-20094,GLP-1/GIP agonist,Obesity,Phase 3,"Regeneron in-licenses GLP-1/GIP dual agonist from China to compete in obesity market with potential best-in-class profile",,https://www.bioworld.com/articles/720864-regeneron-boosts-obesity-pipeline-with-hansohs-glp-1-gip-for-2b,Excludes Greater China rights
2025-04-17,PRNewswire,Sanofi,Earendil Labs,licensing,125,1675,1800,HXN-1002/HXN-1003,bispecific antibody,Immunology,Preclinical,"Sanofi licenses two AI-designed bispecific antibodies for Crohn's disease and inflammatory conditions",,https://www.prnewswire.com/news-releases/earendil-labs-announces-worldwide-exclusive-license-agreement-with-sanofi-for-next-generation-bispecific-antibodies-for-autoimmune-and-inflammatory-bowel-diseases-302431020.html,First Earendil deal
2025-03-20,FierceBiotech,Sanofi,Dren Bio,acquisition,600,1300,1900,DR-0201,bispecific antibody,Immunology,Phase 1,"Sanofi acquires bispecific myeloid cell engager for deep B-cell depletion in autoimmune diseases",,https://www.fiercebiotech.com/biotech/sanofi-pens-19b-deal-dren-bios-bispecific-latest-immunology-play,
